passcode 	title 	url 	filename 	decode_method_tags
zju61zdfhrmnuz834lf 	Hank Johnson Common Threads 	https://ingress.codes/2016/12/06/hank-johnson-common-threads/ 	code\Hank Johnson Common Threads.html 	keyword substitution,rot,skip,unknown,vigenere
lgegyj52c392bhzmp 	Hank Johnson Common Threads 	https://ingress.codes/2016/12/06/hank-johnson-common-threads/ 	code\Hank Johnson Common Threads.html 	keyword substitution,rot,skip,unknown,vigenere
rhozodpqmiohtflwlliiwfeurwuijintivgqnuiahrtaoxn 	Hank Johnson Common Threads 	https://ingress.codes/2016/12/06/hank-johnson-common-threads/ 	code\Hank Johnson Common Threads.html 	keyword substitution,rot,skip,unknown,vigenere
x0i2j22614186151l2g3 	Sixteen Twelve Ten 	https://ingress.codes/2016/12/09/sixteen-twelve-ten/ 	code\Sixteen Twelve Ten.html 	keyword substitution,rot,skip,transposition
6i4a3adcplevq9n9 	Sixteen Twelve Ten 	https://ingress.codes/2016/12/09/sixteen-twelve-ten/ 	code\Sixteen Twelve Ten.html 	keyword substitution,rot,skip,transposition
gfa61vhkkzqc285or 	Sixteen Twelve Ten 	https://ingress.codes/2016/12/09/sixteen-twelve-ten/ 	code\Sixteen Twelve Ten.html 	keyword substitution,rot,skip,transposition
op8qa7ei46nu7tm 	Hank Johnson The Journey to Nigel's Tecthulhu 	https://ingress.codes/2016/12/07/hank-johnson-the-journey-to-nigels-tecthulhu/ 	code\Hank Johnson The Journey to Nigel's Tecthulhu.html 	atbash,keyword substitution,transposition,vigenere autokey
tbm84mlrhv887ce 	Hank Johnson The Journey to Nigel's Tecthulhu 	https://ingress.codes/2016/12/07/hank-johnson-the-journey-to-nigels-tecthulhu/ 	code\Hank Johnson The Journey to Nigel's Tecthulhu.html 	atbash,keyword substitution,transposition,vigenere autokey
wfpAlwEAfhDkwIznTcOhvpP 	Hank Johnson The Journey to Nigel's Tecthulhu 	https://ingress.codes/2016/12/07/hank-johnson-the-journey-to-nigels-tecthulhu/ 	code\Hank Johnson The Journey to Nigel's Tecthulhu.html 	atbash,keyword substitution,transposition,vigenere autokey
artifact4tt67xg9 	INGRESS BURST REPORT  #VIANOIR ASIA AND AUSTRALIA – November 29 2016 	https://ingress.codes/2016/12/03/ingress-burst-report-vianoir-asia-and-australia-november-29-2016/ 	code\INGRESS BURST REPORT  #VIANOIR ASIA AND AUSTRALIA – November 29 2016.html 	numbers to letters,reverse,roman numerals,rot
pkpvVzzzzzzzzzykMyRzzzzzzzzppkUOzzzzpkpFykkvTykkHkyGkyvIpzkivvEEppvNpzivvINpykkkTkyvvCkAkyvEkkkRyvXviIppvSykkRkyUykkkOykFykkvQSkpvvApkivv 	INGRESS BURST REPORT  #VIANOIR ASIA AND AUSTRALIA – November 29 2016 	https://ingress.codes/2016/12/03/ingress-burst-report-vianoir-asia-and-australia-november-29-2016/ 	code\INGRESS BURST REPORT  #VIANOIR ASIA AND AUSTRALIA – November 29 2016.html 	numbers to letters,reverse,roman numerals,rot
